Players,Goals,FH,SH,FS,LS,H,A
David Hirst,43,16,27,10,17,28,15
Julian Joachim,42,12,30,18,19,24,18
Gareth Bale,42,19,23,18,14,20,22
Paul Ince,42,13,29,14,13,26,16
Marians Pahars,42,11,31,16,18,28,14
Danny Welbeck,42,18,24,12,18,25,17
Mikel Arteta,41,17,24,20,19,27,14
Marcus Rashford,41,25,16,18,16,25,16
Callum Wilson,41,20,21,15,11,20,21
Philippe Coutinho,41,22,19,15,9,19,22
Steve McManaman,41,20,21,11,14,18,23
John Terry,41,22,19,18,12,20,21
Marcus Bent,40,12,28,13,16,13,27
Kenwyne Jones,40,15,25,12,16,26,14
Matthew Taylor,40,19,21,13,14,18,22
Aaron Ramsey,40,12,28,10,17,19,21
Steffen Iversen,40,24,16,16,10,29,11
Ayoze Perez,40,17,23,14,16,23,17
Roy Keane,39,17,22,13,13,24,15
Steed Malbranque,39,18,21,11,14,22,17
David Unsworth,38,20,18,12,15,25,13
Jay Rodriguez,38,17,21,17,15,17,21
John Carew,38,21,17,13,13,23,15
Dean Sturridge,38,17,21,12,16,20,18
Ashley Barnes,38,12,26,16,15,19,19
Tore-Andre Flo,38,11,27,10,15,14,24
Darren Huckerby,38,19,19,15,10,22,16
Patrik Berger,38,16,22,11,15,27,11
Glenn Murray,37,20,17,18,13,18,19
Papiss Cisse,37,17,20,15,16,21,16
Darren Anderton,37,21,16,11,11,21,16
Stewart Downing,37,19,18,16,13,25,12
Don Hutchison,37,20,17,16,11,22,15
Kevin Doyle,37,15,22,14,14,16,21
Gabriel Jesus,37,20,17,14,11,18,19
Benni McCarthy,37,17,20,19,13,25,12
David Dunn,37,21,16,14,14,19,18
Marouane Fellaini,37,14,23,11,13,20,17
Tim Sherwood,37,19,18,14,15,27,10
Samir Nasri,36,13,23,10,14,23,13
Jason Roberts,36,16,20,13,11,22,14
Paul Dickov,36,15,21,11,9,23,13
Benito Carbone,36,12,24,10,12,19,17
John Spencer,36,18,18,15,9,22,14
Brian McBride,36,16,20,16,8,20,16
Peter Odemwingie,36,14,22,16,14,22,14
Danny Ings,36,21,15,14,9,17,19
Ruel Fox,36,17,19,15,11,15,21
Salomon Kalou,36,15,21,9,12,18,18
Tomasz Radzinski,35,9,26,10,19,24,11
Wilfred Zaha,35,17,18,12,11,14,21
Peter Ndlovu,35,14,21,11,12,13,22
Wilfried Bony,35,17,18,13,13,23,12
Salomon Rondon,35,15,20,19,13,20,15
Florent Malouda,35,15,20,11,14,24,11
Mikael Forssell,34,12,22,12,11,22,12
Marcus Gayle,34,9,25,8,14,16,18
Morten Gamst Pedersen,34,19,15,18,9,22,12
Robert Lee,34,14,20,12,7,25,9
Aaron Lennon,34,15,19,12,15,23,11
Alexandre Lacazette,34,14,20,10,10,27,7
Dennis Wise,34,16,18,16,7,16,18
Muzzy Izzet,34,18,16,10,16,20,14
Charlie Austin,34,12,22,11,14,20,14
Ian Marshall,33,18,15,12,16,20,13
Charlie Adam,33,20,13,15,10,19,14
Jamie Redknapp,33,10,23,8,16,20,13
Mesut Ozil,33,14,19,12,9,21,12
Cameron Jerome,33,14,19,13,7,16,17
Willian,33,11,22,7,12,15,18
Ian Dowie,33,12,21,12,14,17,16
Ashley Ward,33,17,16,19,14,23,10
Leighton Baines,32,13,19,8,15,18,14
Adam Johnson,32,11,21,12,13,18,14
Jermaine Jenas,32,18,14,11,12,19,13
Shaun Wright-Phillips,32,13,19,8,13,18,14
Nicklas Bendtner,32,16,16,15,15,15,17
James Morrison,32,16,16,12,12,17,15
Djibril Cisse,32,13,19,12,17,14,18
Chris Wood,32,15,17,15,12,17,15
Patrick Vieira,32,14,18,8,8,22,10
Sylvain Wiltord,31,15,16,10,12,19,12
