.png,49,test line,80,81,30,64,0,61,51,17,89,41,10,13,40,18,68,31,32,12,19,24,4,38,1,1,1,1,1,1,1,1
team name,Manchester City,,Liverpool,Chelsea,Arsenal,Everton,Tottenham Hotspur,Manchester United,Southampton,Stoke City,Newcastle United,Crystal Palace,Swansea City,West Ham United,Sunderland,Aston Villa,Hull City,West Bromwich Albion,Norwich City,Fulham,Cardiff City,Leicester City,Burnley,Queens Park Rangers,Watford,Bournemouth,Middlesbrough,Brighton & Hove Albion,Huddersfield,Wolverhampton Wanderers,,
color,0xEE1C25,,0xFF9A32,0xde8d92,0xdabac1,0x9f6575,0xF9CF02,0x845779,0xde8a91,0xDCD5DD,0x905d7b,0xAE5BAB,0xF1C300,0xF2F2F2,0x8b8673,0x8c6d7c,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857,0xFF9742,0x2e1a7d,0x293072,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857,0xFF9742,0x2e1a7d,0x293072
1995,38,1625,71,50,63,61,61,82,38,0,78,0,0,51,0,63,0,0,0,0,0,0,0,33,0,0,43,0,0,0,,
1996,0,1625,68,59,68,42,46,75,41,0,68,0,0,42,40,61,0,0,0,0,0,47,0,0,0,0,42,0,0,0,,
1997,0,1625,65,63,78,40,44,77,48,0,44,33,0,56,0,57,0,0,0,0,0,53,0,0,0,0,0,0,0,0,,
1998,0,1625,54,75,78,43,47,79,41,0,46,0,0,57,0,55,0,0,0,0,0,49,0,0,0,0,51,0,0,0,,
1999,0,1625,67,65,73,50,53,91,44,0,52,0,0,55,0,58,0,0,0,0,0,55,0,0,24,0,52,0,0,0,,
2000,34,1659,69,61,70,42,49,80,52,0,51,0,0,42,0,54,0,0,0,0,0,48,0,0,0,0,42,0,0,0,,
2001,0,1659,80,64,87,43,50,77,45,0,71,0,0,53,0,50,0,0,0,44,0,28,0,0,0,0,45,0,0,0,,
2002,51,1710,64,67,78,59,50,83,52,0,69,0,0,42,0,45,0,0,0,48,0,0,0,0,0,0,49,0,0,0,,
2003,41,1751,60,79,90,39,45,75,47,0,56,0,0,55,0,56,0,0,0,52,0,33,0,0,0,0,48,0,0,33,,
2004,52,1803,58,95,83,61,52,77,32,0,44,33,0,41,0,47,0,0,33,44,0,0,0,0,0,0,55,0,0,0,,
2005,43,1846,82,91,67,50,65,83,0,0,58,0,0,49,15,42,0,0,0,48,0,0,0,0,0,0,45,0,0,0,,
2006,42,1888,68,83,68,58,60,89,0,0,43,0,0,51,0,50,0,0,0,39,0,0,0,0,28,0,46,0,0,0,,
2007,55,1943,76,85,83,65,46,87,0,0,43,0,0,35,39,60,0,0,0,36,0,0,0,0,0,0,42,0,0,0,,
2008,50,1993,86,83,72,63,51,90,0,45,34,0,0,33,36,62,35,32,0,53,0,0,0,0,0,0,32,0,0,0,,
2009,67,2060,63,86,75,61,70,85,0,47,0,0,0,46,44,64,30,0,0,46,0,0,30,0,0,0,0,0,0,38,,
2010,71,2131,58,71,68,54,62,80,0,46,46,0,0,0,47,48,0,47,0,49,0,0,0,0,0,0,0,0,0,40,,
2011,89,2220,52,64,70,56,69,89,0,45,65,0,47,0,45,38,0,47,47,52,0,0,0,37,0,0,0,0,0,25,,
2012,78,2298,61,75,73,63,72,89,41,42,41,0,46,0,39,41,0,49,44,43,0,0,0,25,0,0,0,0,0,0,,
2013,86,2384,84,82,79,72,69,64,56,50,49,45,42,40,38,38,37,36,33,32,30,0,0,0,0,0,0,0,0,0,,
2014,79,2463,62,87,75,47,64,70,60,54,39,48,56,47,38,38,35,44,0,0,0,41,33,30,0,0,0,0,0,0,,
2015,66,2529,60,50,71,47,70,66,63,51,37,42,47,62,39,17,0,43,34,0,0,81,0,0,45,42,0,0,0,0,,
2016,78,2607,76,93,75,61,86,69,46,44,0,41,41,45,24,0,34,45,0,0,0,44,40,0,40,46,28,0,0,0,,
2017,100,2707,75,70,63,49,77,81,36,33,44,44,33,42,0,0,0,31,0,0,0,47,54,0,41,44,0,40,37,0,,
2018,98,2805,97,72,70,54,71,66,39,0,45,49,0,52,0,0,0,0,0,26,34,52,40,0,50,45,0,46,16,57,,
